idML,ref_date,geo,noc_code,noc_desc,job_char,total_vacancies
547960,01-01-2015,Quebec,101,"Total, all occupations","Type of work, all types",60480
547963,01-01-2015,Quebec,101,"Total, all occupations",Full-time,45455
876736,01-01-2015,Saskatchewan,101,"Total, all occupations","Type of work, all types",14330
876739,01-01-2015,Saskatchewan,101,"Total, all occupations",Full-time,10420
1534288,01-04-2015,Canada,101,"Total, all occupations","Type of work, all types",452315
1534291,01-04-2015,Canada,101,"Total, all occupations",Full-time,322625
1534294,01-04-2015,Canada,101,"Total, all occupations",Part-time,129690
1534421,01-04-2015,Canada,0,Legislative and senior management occupations,"Type of work, all types",855
1534424,01-04-2015,Canada,0,Legislative and senior management occupations,Full-time,830
1535751,01-04-2015,Canada,1,"Business, finance and administration occupations","Type of work, all types",50885
1535754,01-04-2015,Canada,1,"Business, finance and administration occupations",Full-time,40915
1535757,01-04-2015,Canada,1,"Business, finance and administration occupations",Part-time,9970
1548386,01-04-2015,Canada,2,Natural and applied sciences and related occupations,"Type of work, all types",31840
1548389,01-04-2015,Canada,2,Natural and applied sciences and related occupations,Full-time,30500
1548392,01-04-2015,Canada,2,Natural and applied sciences and related occupations,Part-time,1340
1561287,01-04-2015,Canada,3,Health occupations,"Type of work, all types",24400
1561290,01-04-2015,Canada,3,Health occupations,Full-time,10690
1561293,01-04-2015,Canada,3,Health occupations,Part-time,13710
1570065,01-04-2015,Canada,4,"Occupations in education, law and social, community and government services","Type of work, all types",21430
1570068,01-04-2015,Canada,4,"Occupations in education, law and social, community and government services",Full-time,13030
1570071,01-04-2015,Canada,4,"Occupations in education, law and social, community and government services",Part-time,8400
1582035,01-04-2015,Canada,5,"Occupations in art, culture, recreation and sport","Type of work, all types",13690
1582038,01-04-2015,Canada,5,"Occupations in art, culture, recreation and sport",Full-time,10600
1582041,01-04-2015,Canada,5,"Occupations in art, culture, recreation and sport",Part-time,3090
1590547,01-04-2015,Canada,6,Sales and service occupations,"Type of work, all types",169930
1590550,01-04-2015,Canada,6,Sales and service occupations,Full-time,94835
1590553,01-04-2015,Canada,6,Sales and service occupations,Part-time,75090
1604512,01-04-2015,Canada,7,"Trades, transport and equipment operators and related occupations","Type of work, all types",72315
1604515,01-04-2015,Canada,7,"Trades, transport and equipment operators and related occupations",Full-time,65710
1604518,01-04-2015,Canada,7,"Trades, transport and equipment operators and related occupations",Part-time,6605
1623664,01-04-2015,Canada,8,"Natural resources, agriculture and related production occupations","Type of work, all types",25775
