noc_code,noc_desc
101,"Total, all occupations"
0,Legislative and senior management occupations
00,Legislative and senior managers
000,Legislative and senior managers
0001,Legislative and senior managers
00011,Senior government managers and officials
00012,"Senior managers - financial, communications and other business services"
00013,"Senior managers - health, education, social and community services and membership organizations"
00014,"Senior managers - trade, broadcasting and other services"
00015,"Senior managers - construction, transportation, production and utilities"
1,"Business, finance and administration occupations"
10011,Human resources managers
10012,Purchasing managers
10019,Other administrative services managers
10020,"Insurance, real estate and financial brokerage managers"
10021,"Banking, credit and other investment managers"
10029,Other business services managers
11101,Financial and investment analysts
11102,Financial advisors
11109,Other financial officers
11200,Human resources professionals
11201,Professional occupations in business management consulting
120,Administrative and financial supervisors
1201,Administrative and financial supervisors
12010,"Supervisors, general office and administrative support workers"
12011,"Supervisors, finance and insurance office workers"
12013,"Supervisors, supply chain, tracking and scheduling coordination occupations"
12100,Executive assistants
12101,Human resources and recruitment officers
12102,Procurement and purchasing agents and officers
12103,Conference and event planners
1211,"Court reporters, transcriptionists, records management technicians and statistical officers"
12111,Health information management occupations
12113,Statistical officers and related research support occupations
122,"Accounting, insurance and related business administrative occupations"
1220,"Accounting, insurance and related business administrative occupations"
12202,Insurance underwriters
12203,"Assessors, business valuators and appraisers"
1311,"Office administrative assistants - general, legal and medical"
13110,Administrative assistants
13111,Legal administrative assistants
13112,Medical administrative assistants
132,Transportation and production logistics coordinators and customs brokers and related broker occupations
1320,Transportation and production logistics coordinators and customs brokers and related broker occupations
13200,"Customs, ship and other brokers"
13201,Production and transportation logistics coordinators
14,Administrative and financial support and supply chain logistics occupations
141,"Office, court, and data support occupations"
1410,Office support and court services occupations
14100,General office support workers
14102,Personnel clerks
14103,Court clerks and related court services occupations
1411,"Survey, statistical and data entry occupations"
14110,Survey interviewers and statistical clerks
14111,Data entry clerks
14201,"Banking, insurance and other financial clerks"
14202,Collection clerks
143,"Library, correspondence and other clerks"
1430,"Library, correspondence and other clerks"
14300,Library assistants and clerks
14301,"Correspondence, publication and regulatory clerks"
14400,Shippers and receivers
14401,Storekeepers and partspersons
14402,Production logistics workers
14403,Purchasing and inventory control workers
14404,Dispatchers
14405,Transportation route and crew schedulers
2,Natural and applied sciences and related occupations
20,"Specialized middle management occupations in engineering, architecture, science and information systems"
200,"Specialized middle management occupations in engineering, architecture, science and information systems"
2001,"Managers in engineering, architecture, science and information systems"
20011,Architecture and science managers
20012,Computer and information systems managers
21,Professional occupations in natural and applied sciences
2110,Physical science professionals
21101,Chemists
21102,Geoscientists and oceanographers
21109,Other professional occupations in physical sciences
21110,Biologists and related scientists
21111,Forestry professionals
2112,Public and environmental health and safety professionals
21120,Public and environmental health and safety professionals
2120,"Architects, urban planners and land surveyors"
21200,Architects
21202,Urban and land use planners
2121,"Mathematicians, statisticians, actuaries and data scientists"
21210,"Mathematicians, statisticians and actuaries"
21220,Cybersecurity specialists
21222,Information systems specialists
21230,Computer systems developers and programmers
21233,Web designers
21234,Web developers and programmers
2130,Civil and mechanical engineers
21300,Civil engineers
21301,Mechanical engineers
2131,"Electrical, electronics and computer engineers"
21310,Electrical and electronics engineers
21320,Chemical engineers
21322,Metallurgical and materials engineers
2133,Natural resources engineers
21330,Mining engineers
21331,Geological engineers
21390,Aerospace engineers
2210,Technical occupations in physical sciences
22100,Chemical technologists and technicians
22101,Geological and mineral technologists and technicians
2211,Technical occupations in life sciences
22110,Biological technologists and technicians
22112,Forestry technologists and technicians
22114,Landscape and horticulture technicians and specialists
22210,Architectural technologists and technicians
22211,Industrial designers
22212,Drafting technologists and technicians
22213,Land survey technologists and technicians
22214,Technical occupations in geomatics and meteorology
22220,Computer network and web technicians
22222,Information systems testing technicians
2223,Technical inspectors and regulatory officers
22230,Non-destructive testers and inspectors
22231,Engineering inspectors and regulatory officers
22232,Occupational health and safety specialists
22233,Construction inspectors
2230,"Technical occupations in civil, mechanical and industrial engineering"
22300,Civil engineering technologists and technicians
22302,Industrial engineering and manufacturing technologists and technicians
22303,Construction estimators
2231,Technical occupations in electronics and electrical engineering
22310,Electrical and electronics engineering technologists and technicians
22312,Industrial instrument technicians and mechanics
22313,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors"
3,Health occupations
31,Professional occupations in health
311,Health treating and consultation services professionals
3111,"Dentists, optometrists and audiologists"
31112,Audiologists and speech-language pathologists
3112,Pharmacists and dietitians
31120,Pharmacists
31121,Dietitians and nutritionists
312,Therapy and assessment professionals
3120,Therapy and assessment professionals
31200,Psychologists
31202,Physiotherapists
31203,Occupational therapists
31204,Kinesiologists and other professional occupations in therapy and assessment
31209,Other professional occupations in health diagnosing and treating
313,Nursing and allied health professionals
3130,Nursing and allied health professionals
31300,Nursing coordinators and supervisors
31301,Registered nurses and registered psychiatric nurses
31302,Nurse practitioners
31303,"Physician assistants, midwives and allied health professionals"
32,Technical occupations in health
321,Technical occupations in health (except practitioners of natural healing)
3210,Technical occupations in therapy and assessment
32101,Licensed practical nurses
32102,Paramedical occupations
32103,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists"
32104,Animal health technologists and veterinary technicians
32109,Other technical occupations in therapy and assessment
3211,Technical occupations in dental health care
32111,Dental hygienists and dental therapists
32112,Dental technologists and technicians
3212,Medical technologists and technicians
32120,Medical laboratory technologists
32121,Medical radiation technologists
32122,Medical sonographers
32123,Cardiology technologists and electrophysiological diagnostic technologists
32124,Pharmacy technicians
32129,Other medical technologists and technicians
322,Practitioners of natural healing
3220,Practitioners of natural healing
33100,Dental assistants and dental laboratory assistants
33101,Medical laboratory assistants and related technical occupations
33102,"Nurse aides, orderlies and patient service associates"
33103,Pharmacy technical assistants and pharmacy assistants
33109,Other assisting occupations in support of health services
4001,Managers in public administration
40010,Government managers - health and social policy development and program administration
40011,"Government managers - economic analysis, policy development and program administration"
40019,Other managers in public administration
4002,Managers in education
40020,Administrators - post-secondary education and vocational training
40021,School principals and administrators of elementary and secondary education
4003,"Managers in social, community and correctional services"
40030,"Managers in social, community and correctional services"
4004,Managers in public protection services
40041,Fire chiefs and senior firefighting officers
411,Professional occupations in law
4110,"Judges, lawyers and Quebec notaries"
41101,Lawyers and Quebec notaries
41201,Post-secondary teaching and research assistants
4121,College and other vocational instructors
41210,College and other vocational instructors
41300,Social workers
41301,Therapists in counselling and related specialized therapies
41302,Religious leaders
41321,Career development practitioners and career counsellors (except education)
41401,Economists and economic policy researchers and analysts
41402,Business development officers and market researchers and analysts
41403,"Social policy researchers, consultants and program officers"
41404,"Health policy researchers, consultants and program officers"
41405,"Education policy researchers, consultants and program officers"
421,Occupations in front-line public protection services
4210,Occupations in front-line public protection services
42100,Police officers (except commissioned)
42200,Paralegals and related occupations
42201,Social and community service workers
42202,Early childhood educators and assistants
43,Assisting occupations in education and in legal and public protection
431,Assisting occupations in educational
4310,Assisting occupations in education
43100,Elementary and secondary school teacher assistants
43109,Other instructors
432,Assisting occupations in legal and public protection
4320,Assisting occupations in legal and public protection
43202,By-law enforcement and other regulatory officers
44,Care providers and legal and public protection support occupations
441,Home care provider occupations
4410,Home care provider occupations
44101,"Home support workers, caregivers and related occupations"
45,"Student monitors, crossing guards and related occupations"
451,"Student monitors, crossing guards and related occupations"
4510,"Student monitors, crossing guards and related occupations"
45100,"Student monitors, crossing guards and related occupations"
50,"Specialized middle management occupations in art, culture, recreation and sport"
500,"Specialized middle management occupations in art, culture, recreation and sport"
5001,"Managers in art, culture, recreation and sport"
50011,"Managers - publishing, motion pictures, broadcasting and performing arts"
50012,"Recreation, sports and fitness program and service directors"
5110,"Librarians, archivists, conservators and curators"
51100,Librarians
51102,Archivists
5111,"Writing, translating and related communications professionals"
51110,Editors
51111,Authors and writers (except technical)
51112,Technical writers
51113,Journalists
51114,"Translators, terminologists and interpreters"
5112,Creative and performing artists
51120,"Producers, directors, choreographers and related occupations"
5210,Technical occupations in libraries and public archives
52100,Library and public archive technicians
5211,"Technical occupations in motion pictures, broadcasting and the performing arts"
52110,Film and video camera operators
52111,Graphic arts technicians
52113,Audio and video recording technicians
52114,Announcers and other broadcasters
52121,Interior designers and interior decorators
53,"Occupations in art, culture and sport"
531,Occupations in art and culture
5310,Occupations related to museums and art galleries
53100,"Registrars, restorers, interpreters and other occupations related to museum and art galleries"
5312,Occupations in creative and performing art
53120,Dancers
53122,"Painters, sculptors and other visual artists"
53124,Artisans and craftspersons
53201,Coaches
54,Support occupations in sport
541,Support occupations in sport
5410,"Program leaders and instructors in recreation, sport and fitness"
54100,"Program leaders and instructors in recreation, sport and fitness"
55,Support occupations in art and culture
551,Support occupations in art and culture
5510,Support occupations in art and culture
55109,Other performers
6,Sales and service occupations
6003,Managers in food service and accommodation
60030,Restaurant and food service managers
60031,Accommodation service managers
6004,Managers in customer and personal services
60040,Managers in customer and personal services
620,Retail sales and service supervisors
6201,Retail sales supervisors
62010,Retail sales supervisors
6202,Service supervisors
62020,Food service supervisors
62021,Executive housekeepers
62022,"Accommodation, travel, tourism and related services supervisors"
62023,Customer and information services supervisors
62024,Cleaning supervisors
62029,Other services supervisors
621,Specialized sales occupations
6210,Technical sales specialists in wholesale trade and retail and wholesale buyers
62100,Technical sales specialists - wholesale trade
62101,Retail and wholesale buyers
622,Specialized services occupations
6220,Specialized occupations in services
62200,Chefs
62201,Funeral directors and embalmers
63,Occupations in sales and services
63100,Insurance agents and brokers
63102,Financial sales representatives
632,Occupations in services
6320,"Cooks, butchers and bakers"
63200,Cooks
63201,Butchers - retail and wholesale
63202,Bakers
6321,Hairstylists and estheticians
63210,Hairstylists and barbers
63211,"Estheticians, electrologists and related occupations"
6322,"Shoe repairers, shoemakers and upholsterers"
63221,Upholsterers
64,Sales and service representatives and other customer and personal services occupations
641,Retail salespersons and non-technical wholesale trade sales and account representatives
6410,Retail salespersons and non-technical wholesale trade sales and account representatives
64100,Retail salespersons and visual merchandisers
64101,Sales and account representatives - wholesale trade (non-technical)
642,Occupations in personal service
6420,Occupations in personal service
64200,"Tailors, dressmakers, furriers and milliners"
643,"Occupations in food, accommodation and tourism"
6430,Occupations in food and beverage service
64300,Maîtres d'hôtel and hosts/hostesses
64301,Bartenders
6431,Occupations in travel and accommodation
64310,Travel counsellors
64312,Airline ticket and service agents
64313,"Ground and water transport ticket agents, cargo service representatives and related clerks"
64314,Hotel front desk clerks
6432,Tourism and amusement services occupations
64320,Tour and travel guides
64321,Casino workers
644,"Occupations in customer, information and protective services"
6440,Customer and information services representatives
64400,Customer services representatives - financial institutions
64401,Postal services representatives
64409,Other customer and information services representatives
6441,Security guards and related security service occupations
64410,Security guards and related security service occupations
65,Sales and service support occupations
651,Sales support occupations
6510,Cashiers and other sales support occupations
65100,Cashiers
65101,Service station attendants
65102,"Store shelf stockers, clerks and order fillers"
65109,Other sales related occupations
652,"Support occupations in food, accommodation and tourism"
6520,Food support occupations
65200,Food and beverage servers
65201,"Food counter attendants, kitchen helpers and related support occupations"
65202,Meat cutters and fishmongers - retail and wholesale
6521,"Support occupations in accommodation, travel, tourism and amusement services"
65210,"Support occupations in accommodation, travel and facilities set-up services"
65211,"Operators and attendants in amusement, recreation and sport"
6522,Support occupations in personal services
65220,Pet groomers and animal care workers
653,Support occupations in cleaning and related services
6531,Cleaners
65310,Light duty cleaners
6532,Service support and related occupations
65329,Other service support occupations
7,"Trades, transport and equipment operators and related occupations"
7002,Managers in transportation and postal and courier services
70020,Managers in transportation
72,Technical trades and transportation officers and controllers
720,Technical trades contractors and supervisors
7201,"Contractors and supervisors, technical industrial, electrical and construction trades and related workers"
72010,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations"
72011,"Contractors and supervisors, electrical trades and telecommunications occupations"
72012,"Contractors and supervisors, pipefitting trades"
72013,"Contractors and supervisors, carpentry trades"
7202,"Contractors and supervisors, technical maintenance trades and heavy equipment and transport operators"
72021,"Contractors and supervisors, heavy equipment operator crews"
72024,"Supervisors, motor transport and other ground transit operators"
72101,Tool and die makers
72102,Sheet metal workers
72104,Structural metal and platework fabricators and fitters
72105,Ironworkers
722,Technical electrical trades
7220,Technical electrical trades and electrical power line and telecommunications workers
72200,Electricians (except industrial and power system)
72201,Industrial electricians
72203,Electrical power line and cable workers
72205,Telecommunications equipment installation and cable television service technicians
723,Technical construction trades
7230,"Plumbers, pipefitters and gas fitters"
72300,Plumbers
72301,"Steamfitters, pipefitters and sprinkler system installers"
72310,Carpenters
72311,Cabinetmakers
7232,Bricklayers and insulators
724,Technical maintenance trades
72400,Construction millwrights and industrial mechanics
72401,Heavy-duty equipment mechanics
72402,"Heating, refrigeration and air conditioning mechanics"
72404,Aircraft mechanics and aircraft inspectors
7241,Automotive service technicians
72410,"Automotive service technicians, truck and bus mechanics and mechanical repairers"
72411,"Auto body collision, refinishing and glass technicians and damage repair estimators"
7242,Small engine and equipment mechanics and related repairers (including electrical components)
72421,Appliance servicers and repairers
72422,Electrical mechanics
72423,"Motorcycle, all-terrain vehicle and other related mechanics"
72429,Other small engine and small equipment repairers
725,Technical equipment operation trades
7250,Crane operators and water well drillers
72500,Crane operators
726,Transportation officers and controllers
7260,Transportation officers and controllers
72600,"Air pilots, flight engineers and flying instructors"
72601,Air traffic controllers and related occupations
72603,"Engineer officers, water transport"
729,Other technical trades
7299,Other technical trades
72999,Other technical trades and related occupations
73,General trades
731,General construction trades
7310,"Concrete finishers, tilesetters and plasterers"
73100,Concrete finishers
73102,"Plasterers, drywall installers and finishers and lathers"
7311,"Roofers, glaziers, painters, decorators and floor covering installers"
73110,Roofers and shinglers
73111,Glaziers
73112,Painters and decorators (except interior decorators)
732,"Building maintenance installers, servicers and repairers"
7320,"Building maintenance installers, servicers and repairers"
73200,Residential and commercial installers and servicers
73202,Pest controllers and fumigators
73209,Other repairers and servicers
733,Transportation occupations
7330,Transport truck and transit drivers
73301,"Bus drivers, subway operators and other transit operators"
73400,Heavy equipment operators
73401,Printing press operators
74,"Mail and message distribution, other transport equipment operators and related maintenance workers"
741,Mail and message distribution occupations
7410,Mail and message distribution occupations
742,"Transport equipment operators, utility maintenance and related workers"
7420,"Transport equipment operators, utility maintenance and related maintenance workers"
74202,Air transport ramp attendants
74203,Automotive and heavy truck and equipment parts installers and servicers
74204,Utility maintenance workers
74205,Public works maintenance equipment operators and related workers
75,"Helpers and labourers and other transport drivers, operators and labourers"
751,Helpers and labourers
7510,Longshore workers and material handlers
75101,Material handlers
7511,Trades helpers and labourers
75110,Construction trades helpers and labourers
75119,Other trades helpers and labourers
7521,Water and rail transport operators and labourers and related occupations
75210,Boat and cable ferry operators and related occupations
75211,Railway and motor transport labourers
75212,Public works and maintenance labourers
8,"Natural resources, agriculture and related production occupations"
80,Middle management occupations in production and agriculture
800,Middle management occupations in production and agriculture
8001,Managers in natural resources production and fishing
80010,Managers in natural resources production and fishing
8002,"Managers in agriculture, horticulture and aquaculture"
80020,Managers in agriculture
8201,"Supervisors, logging and forestry"
82010,"Supervisors, logging and forestry"
8202,"Contractors and supervisors, mining, oil and gas"
8203,"Contractors and supervisors, agriculture, horticulture and related operations and services"
82030,Agricultural service contractors and farm supervisors
82031,"Contractors and supervisors, landscaping, grounds maintenance and horticulture services"
83,Occupations in natural resources and related production
831,Occupations in natural resources and fisheries
8310,"Underground miners, oil and gas drillers and related occupations"
83100,Underground production and development miners
83101,"Oil and gas well drillers, servicers, testers and related workers"
8410,Mine service workers and operators in oil and gas drilling
84100,Underground mine service and support workers
84101,Oil and gas well drilling and related workers and services operators
8411,Logging and forestry workers
84120,Specialized livestock workers and farm machinery operators
85101,Harvesting labourers
85103,Nursery and greenhouse labourers
8511,"Mine and oil and gas drilling, services and related labourers"
85110,Mine labourers
85111,"Oil and gas drilling, servicing and related labourers"
90011,Utilities managers
920,"Supervisors, processing, manufacturing, assembly and fabrication occupations"
9201,"Supervisors, processing and manufacturing occupations"
92010,"Supervisors, mineral and metal processing"
92011,"Supervisors, petroleum, gas and chemical processing and utilities"
92012,"Supervisors, food and beverage processing"
9202,"Supervisors, assembly and fabrication"
92020,"Supervisors, motor vehicle assembling"
92021,"Supervisors, electronics and electrical products manufacturing"
92023,"Supervisors, other mechanical and metal products manufacturing"
921,Utilities equipment operators and controllers
9210,Utilities equipment operators and controllers
92100,Power engineers and power systems operators
92101,Water and waste treatment plant operators
93,Central control and process operators and aircraft assembly assemblers and inspectors
931,Central control and process operators in processing and manufacturing
9310,Central control and process operators in processing and manufacturing
93100,"Central control and process operators, mineral and metal processing"
93101,"Central control and process operators, petroleum, gas and chemical processing"
94,"Machine operators, assemblers and inspectors in processing, manufacturing and printing"
941,Processing and manufacturing machine operators and related production workers
9410,Machine operators and related workers in mineral and metal products processing and manufacturing
94100,"Machine operators, mineral and metal processing"
94101,Foundry workers
94103,"Concrete, clay and stone forming operators"
94105,Metalworking and forging machine operators
94107,Machine operators of other metal products
9411,"Machine operators and related workers in chemical, plastic and rubber processing"
94110,Chemical plant machine operators
94111,Plastics processing machine operators
94112,Rubber processing machine operators and related workers
9412,Machine operators and related workers in pulp and paper production and wood processing and manufacturing
94121,"Pulp mill, papermaking and finishing machine operators"
94122,Paper converting machine operators
94124,Woodworking machine operators
9413,"Machine operators and related workers in textile, fabric, fur and leather products processing and manufacturing"
94131,"Weavers, knitters and other fabric making occupations"
94132,Industrial sewing machine operators
9414,"Machine operators and related workers in food, beverage and associated products processing"
94140,"Process control and machine operators, food and beverage processing"
94141,"Industrial butchers and meat cutters, poultry preparers and related workers"
94142,Fish and seafood plant workers
94143,"Testers and graders, food and beverage processing"
94150,Plateless printing equipment operators
94152,Binding and finishing machine operators
942,Assemblers and inspectors in manufacturing
9420,"Mechanical, electrical and electronics assemblers and inspectors"
94200,"Motor vehicle assemblers, inspectors and testers"
94201,"Electronics assemblers, fabricators, inspectors and testers"
94202,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing"
94203,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers"
94204,Mechanical assemblers and inspectors
9421,"Furniture, wood, plastic and other products assemblers, finishers and inspectors"
94210,"Furniture and fixture assemblers, finishers, refinishers and inspectors"
94211,Assemblers and inspectors of other wood products
94212,"Plastic products assemblers, finishers and inspectors"
94213,"Industrial painters, coaters and metal finishing process operators"
94219,"Other products assemblers, finishers and inspectors"
95,"Labourers in processing, manufacturing and utilities"
951,"Labourers in processing, manufacturing and utilities"
9510,"Labourers in processing, manufacturing and utilities"
95100,Labourers in mineral and metal processing
95101,Labourers in metal fabrication
95102,Labourers in chemical products processing and utilities
95103,"Labourers in wood, pulp and paper processing"
95104,Labourers in rubber and plastic products manufacturing
95105,Labourers in textile processing and cutting
95106,Labourers in food and beverage processing
95107,Labourers in fish and seafood processing
95109,"Other labourers in processing, manufacturing and utilities"
10,"Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)"
100,"Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)"
1001,Administrative services managers
10010,Financial managers
1002,Managers in financial and business services
11,Professional occupations in finance and business
111,Professional occupations in finance
1110,"Auditors, accountants and investment professionals"
11100,Financial auditors and accountants
112,Professional occupations in business
1120,Human resources and business service professionals
11202,"Professional occupations in advertising, marketing and public relations"
12,Administrative and financial supervisors and specialized administrative occupations
121,Specialized administrative occupations
