ref_date,geo,noc_desc,job_char,predicted_vacancies
2023-01-01,Newfoundland and Labrador,"Total, all occupations","Type of work, all types",4008.1348
2023-01-01,Newfoundland and Labrador,"Total, all occupations",Full-time,4473.481
2023-01-01,Newfoundland and Labrador,"Total, all occupations",Part-time,4592.4146
2023-01-01,Newfoundland and Labrador,"Business, finance and administration occupations","Type of work, all types",4806.5713
2023-01-01,Newfoundland and Labrador,"Business, finance and administration occupations",Full-time,5019.5215
2023-01-01,Newfoundland and Labrador,"Business, finance and administration occupations",Part-time,5255.096
2023-01-01,Newfoundland and Labrador,Natural and applied sciences and related occupations,"Type of work, all types",5419.587
2023-01-01,Newfoundland and Labrador,Natural and applied sciences and related occupations,Full-time,3989.221
2023-01-01,Newfoundland and Labrador,Health occupations,"Type of work, all types",4449.0854
2023-01-01,Newfoundland and Labrador,Health occupations,Full-time,4573.541
2023-01-01,Newfoundland and Labrador,Health occupations,Part-time,4793.8765
2023-01-01,Newfoundland and Labrador,"Occupations in education, law and social, community and government services","Type of work, all types",4997.507
2023-01-01,Newfoundland and Labrador,"Occupations in education, law and social, community and government services",Full-time,5282.8667
2023-01-01,Newfoundland and Labrador,Sales and service occupations,"Type of work, all types",5555.7354
2023-01-01,Newfoundland and Labrador,Sales and service occupations,Full-time,3577.9092
2023-01-01,Newfoundland and Labrador,Sales and service occupations,Part-time,4406.1533
2023-01-01,Newfoundland and Labrador,"Trades, transport and equipment operators and related occupations","Type of work, all types",4692.788
2023-01-01,Newfoundland and Labrador,"Trades, transport and equipment operators and related occupations",Full-time,5095.1704
2023-01-01,Prince Edward Island,"Total, all occupations","Type of work, all types",5509.4893
2023-01-01,Prince Edward Island,"Total, all occupations",Full-time,6296.4937
2023-01-01,Prince Edward Island,"Total, all occupations",Part-time,7814.2207
2023-01-01,Prince Edward Island,"Business, finance and administration occupations","Type of work, all types",3715.5874
2023-01-01,Prince Edward Island,"Business, finance and administration occupations",Full-time,4575.289
2023-01-01,Prince Edward Island,Health occupations,"Type of work, all types",4862.2515
2023-01-01,Prince Edward Island,Health occupations,Full-time,5262.276
2023-01-01,Prince Edward Island,Health occupations,Part-time,5678.568
2023-01-01,Prince Edward Island,"Occupations in education, law and social, community and government services","Type of work, all types",6504.533
2023-01-01,Prince Edward Island,"Occupations in education, law and social, community and government services",Part-time,8112.2036
2023-01-01,Prince Edward Island,Sales and service occupations,"Type of work, all types",3779.2568
2023-01-01,Prince Edward Island,Sales and service occupations,Full-time,4644.667
2023-01-01,Prince Edward Island,Sales and service occupations,Part-time,4933.128
2023-01-01,Prince Edward Island,"Trades, transport and equipment operators and related occupations","Type of work, all types",5330.4673
2023-01-01,Prince Edward Island,"Trades, transport and equipment operators and related occupations",Full-time,5745.408
2023-01-01,Prince Edward Island,"Trades, transport and equipment operators and related occupations",Part-time,6575.7983
2023-01-01,Prince Edward Island,Occupations in manufacturing and utilities,"Type of work, all types",8187.635
2023-01-01,Prince Edward Island,Occupations in manufacturing and utilities,Full-time,3771.0022
2023-01-01,Nova Scotia,"Total, all occupations","Type of work, all types",4649.2124
2023-01-01,Nova Scotia,"Total, all occupations",Full-time,4941.2075
2023-01-01,Nova Scotia,"Total, all occupations",Part-time,5340.6797
2023-01-01,Nova Scotia,"Business, finance and administration occupations","Type of work, all types",5757.956
2023-01-01,Nova Scotia,"Business, finance and administration occupations",Full-time,6598.4526
2023-01-01,Nova Scotia,"Business, finance and administration occupations",Part-time,8229.79
2023-01-01,Nova Scotia,Natural and applied sciences and related occupations,"Type of work, all types",3494.822
2023-01-01,Nova Scotia,Natural and applied sciences and related occupations,Full-time,3494.822
2023-01-01,Nova Scotia,Health occupations,"Type of work, all types",3494.822
