ref_date,geo,noc_desc,job_char,predicted_vacancies
01-01-2023,Newfoundland and Labrador,"Total, all occupations","Type of work, all types",4432.5337
01-01-2023,Newfoundland and Labrador,"Total, all occupations",Full-time,5369.7485
01-01-2023,Newfoundland and Labrador,"Total, all occupations",Part-time,5742.787
01-01-2023,Newfoundland and Labrador,"Business, finance and administration occupations","Type of work, all types",5963.8574
01-01-2023,Newfoundland and Labrador,"Business, finance and administration occupations",Full-time,6174.7153
01-01-2023,Newfoundland and Labrador,"Business, finance and administration occupations",Part-time,6307.03
01-01-2023,Newfoundland and Labrador,Natural and applied sciences and related occupations,"Type of work, all types",7110.8267
01-01-2023,Newfoundland and Labrador,Natural and applied sciences and related occupations,Full-time,4305.911
01-01-2023,Newfoundland and Labrador,Health occupations,"Type of work, all types",5346.889
01-01-2023,Newfoundland and Labrador,Health occupations,Full-time,5777.2847
01-01-2023,Newfoundland and Labrador,Health occupations,Part-time,6068.409
01-01-2023,Newfoundland and Labrador,"Occupations in education, law and social, community and government services","Type of work, all types",6319.432
01-01-2023,Newfoundland and Labrador,"Occupations in education, law and social, community and government services",Full-time,6524.1304
01-01-2023,Newfoundland and Labrador,Sales and service occupations,"Type of work, all types",7395.6187
01-01-2023,Newfoundland and Labrador,Sales and service occupations,Full-time,4305.8857
01-01-2023,Newfoundland and Labrador,Sales and service occupations,Part-time,5341.7046
01-01-2023,Newfoundland and Labrador,"Trades, transport and equipment operators and related occupations","Type of work, all types",5793.492
01-01-2023,Newfoundland and Labrador,"Trades, transport and equipment operators and related occupations",Full-time,6099.813
01-01-2023,Prince Edward Island,"Total, all occupations","Type of work, all types",6405.041
01-01-2023,Prince Edward Island,"Total, all occupations",Full-time,6664.873
01-01-2023,Prince Edward Island,"Total, all occupations",Part-time,7544.657
01-01-2023,Prince Edward Island,"Business, finance and administration occupations","Type of work, all types",4313.6304
01-01-2023,Prince Edward Island,"Business, finance and administration occupations",Full-time,5345.326
01-01-2023,Prince Edward Island,Health occupations,"Type of work, all types",5800.613
01-01-2023,Prince Edward Island,Health occupations,Full-time,6109.9473
01-01-2023,Prince Edward Island,Health occupations,Part-time,6428.368
01-01-2023,Prince Edward Island,"Occupations in education, law and social, community and government services","Type of work, all types",6702.4287
01-01-2023,Prince Edward Island,"Occupations in education, law and social, community and government services",Part-time,7581.7393
01-01-2023,Prince Edward Island,Sales and service occupations,"Type of work, all types",4313.3496
01-01-2023,Prince Edward Island,Sales and service occupations,Full-time,5344.0034
01-01-2023,Prince Edward Island,Sales and service occupations,Part-time,5800.3027
01-01-2023,Prince Edward Island,"Trades, transport and equipment operators and related occupations","Type of work, all types",6110.9062
01-01-2023,Prince Edward Island,"Trades, transport and equipment operators and related occupations",Full-time,6432.2705
01-01-2023,Prince Edward Island,"Trades, transport and equipment operators and related occupations",Part-time,6710.1846
01-01-2023,Prince Edward Island,Occupations in manufacturing and utilities,"Type of work, all types",7590.858
01-01-2023,Prince Edward Island,Occupations in manufacturing and utilities,Full-time,4313.6353
01-01-2023,Nova Scotia,"Total, all occupations","Type of work, all types",5344.42
01-01-2023,Nova Scotia,"Total, all occupations",Full-time,5800.8867
01-01-2023,Nova Scotia,"Total, all occupations",Part-time,6111.778
01-01-2023,Nova Scotia,"Business, finance and administration occupations","Type of work, all types",6433.7505
01-01-2023,Nova Scotia,"Business, finance and administration occupations",Full-time,6712.363
01-01-2023,Nova Scotia,"Business, finance and administration occupations",Part-time,7593.297
01-01-2023,Nova Scotia,Natural and applied sciences and related occupations,"Type of work, all types",4313.487
01-01-2023,Nova Scotia,Natural and applied sciences and related occupations,Full-time,5344.4116
01-01-2023,Nova Scotia,Health occupations,"Type of work, all types",5800.9546
01-01-2023,Nova Scotia,Health occupations,Full-time,6111.9873
01-01-2023,Nova Scotia,Health occupations,Part-time,6434.1855
01-01-2023,Nova Scotia,"Occupations in education, law and social, community and government services","Type of work, all types",6713.014
01-01-2023,Nova Scotia,"Occupations in education, law and social, community and government services",Full-time,7594.043
01-01-2023,Nova Scotia,"Occupations in education, law and social, community and government services",Part-time,4313.441
01-01-2023,Nova Scotia,Sales and service occupations,"Type of work, all types",5344.5522
01-01-2023,Nova Scotia,Sales and service occupations,Full-time,5801.136
01-01-2023,Nova Scotia,Sales and service occupations,Part-time,6112.2725
01-01-2023,Nova Scotia,"Trades, transport and equipment operators and related occupations","Type of work, all types",6434.637
01-01-2023,Nova Scotia,"Trades, transport and equipment operators and related occupations",Full-time,6713.584
01-01-2023,Nova Scotia,"Trades, transport and equipment operators and related occupations",Part-time,7594.6475
01-01-2023,Nova Scotia,Occupations in manufacturing and utilities,"Type of work, all types",4313.362
01-01-2023,Nova Scotia,Occupations in manufacturing and utilities,Full-time,5344.6514
01-01-2023,New Brunswick,"Total, all occupations","Type of work, all types",5801.2754
01-01-2023,New Brunswick,"Total, all occupations",Full-time,6112.512
01-01-2023,New Brunswick,"Total, all occupations",Part-time,6435.0356
01-01-2023,New Brunswick,"Business, finance and administration occupations","Type of work, all types",6714.093
01-01-2023,New Brunswick,"Business, finance and administration occupations",Full-time,7595.1885
01-01-2023,New Brunswick,"Business, finance and administration occupations",Part-time,4431.049
01-01-2023,New Brunswick,Natural and applied sciences and related occupations,"Type of work, all types",4431.049
01-01-2023,New Brunswick,Natural and applied sciences and related occupations,Full-time,4431.049
01-01-2023,New Brunswick,Health occupations,"Type of work, all types",4431.049
01-01-2023,New Brunswick,"Occupations in education, law and social, community and government services","Type of work, all types",4431.049
01-01-2023,New Brunswick,"Occupations in education, law and social, community and government services",Full-time,4431.049
01-01-2023,New Brunswick,"Occupations in education, law and social, community and government services",Part-time,4431.049
01-01-2023,New Brunswick,Sales and service occupations,"Type of work, all types",4431.049
01-01-2023,New Brunswick,Sales and service occupations,Full-time,4431.049
01-01-2023,New Brunswick,Sales and service occupations,Part-time,4431.049
01-01-2023,New Brunswick,"Trades, transport and equipment operators and related occupations","Type of work, all types",4431.049
01-01-2023,New Brunswick,"Trades, transport and equipment operators and related occupations",Full-time,4431.049
01-01-2023,New Brunswick,Occupations in manufacturing and utilities,"Type of work, all types",4431.049
01-01-2023,New Brunswick,Occupations in manufacturing and utilities,Full-time,4431.049
01-01-2023,Quebec,"Total, all occupations","Type of work, all types",4431.049
01-01-2023,Quebec,"Total, all occupations",Full-time,4431.049
01-01-2023,Quebec,"Total, all occupations",Part-time,4431.049
01-01-2023,Quebec,"Business, finance and administration occupations","Type of work, all types",4431.049
01-01-2023,Quebec,"Business, finance and administration occupations",Full-time,4431.049
01-01-2023,Quebec,"Business, finance and administration occupations",Part-time,4431.049
01-01-2023,Quebec,Natural and applied sciences and related occupations,"Type of work, all types",4431.049
01-01-2023,Quebec,Natural and applied sciences and related occupations,Full-time,4431.049
01-01-2023,Quebec,Natural and applied sciences and related occupations,Part-time,4431.049
01-01-2023,Quebec,Health occupations,"Type of work, all types",4431.049
01-01-2023,Quebec,Health occupations,Full-time,4431.049
01-01-2023,Quebec,Health occupations,Part-time,4431.049
01-01-2023,Quebec,"Occupations in education, law and social, community and government services","Type of work, all types",4431.049
01-01-2023,Quebec,"Occupations in education, law and social, community and government services",Full-time,4431.049
01-01-2023,Quebec,"Occupations in education, law and social, community and government services",Part-time,4431.049
01-01-2023,Quebec,"Occupations in art, culture, recreation and sport","Type of work, all types",4431.049
01-01-2023,Quebec,"Occupations in art, culture, recreation and sport",Full-time,4431.049
01-01-2023,Quebec,"Occupations in art, culture, recreation and sport",Part-time,4431.049
01-01-2023,Quebec,Sales and service occupations,"Type of work, all types",4431.049
01-01-2023,Quebec,Sales and service occupations,Full-time,4431.049
01-01-2023,Quebec,Sales and service occupations,Part-time,4431.049
01-01-2023,Quebec,"Trades, transport and equipment operators and related occupations","Type of work, all types",4431.049
01-01-2023,Quebec,"Trades, transport and equipment operators and related occupations",Full-time,4431.049
01-01-2023,Quebec,"Trades, transport and equipment operators and related occupations",Part-time,4431.049
01-01-2023,Quebec,"Natural resources, agriculture and related production occupations","Type of work, all types",4431.049
01-01-2023,Quebec,"Natural resources, agriculture and related production occupations",Full-time,4431.049
01-01-2023,Quebec,Occupations in manufacturing and utilities,"Type of work, all types",4431.049
01-01-2023,Quebec,Occupations in manufacturing and utilities,Full-time,4431.049
01-01-2023,Quebec,Occupations in manufacturing and utilities,Part-time,4431.049
01-01-2023,Ontario,"Total, all occupations","Type of work, all types",4431.049
01-01-2023,Ontario,"Total, all occupations",Full-time,4431.049
01-01-2023,Ontario,"Total, all occupations",Part-time,4431.049
01-01-2023,Ontario,Legislative and senior management occupations,"Type of work, all types",4431.049
01-01-2023,Ontario,Legislative and senior management occupations,Full-time,4431.049
01-01-2023,Ontario,"Business, finance and administration occupations","Type of work, all types",4431.049
01-01-2023,Ontario,"Business, finance and administration occupations",Full-time,4431.049
01-01-2023,Ontario,"Business, finance and administration occupations",Part-time,4431.049
01-01-2023,Ontario,Natural and applied sciences and related occupations,"Type of work, all types",4431.049
01-01-2023,Ontario,Natural and applied sciences and related occupations,Full-time,4431.049
01-01-2023,Ontario,Natural and applied sciences and related occupations,Part-time,4431.049
01-01-2023,Ontario,Health occupations,"Type of work, all types",4431.049
01-01-2023,Ontario,Health occupations,Full-time,4431.049
01-01-2023,Ontario,Health occupations,Part-time,4431.049
01-01-2023,Ontario,"Occupations in education, law and social, community and government services","Type of work, all types",4431.049
01-01-2023,Ontario,"Occupations in education, law and social, community and government services",Full-time,4431.049
01-01-2023,Ontario,"Occupations in education, law and social, community and government services",Part-time,4431.049
01-01-2023,Ontario,"Occupations in art, culture, recreation and sport","Type of work, all types",4431.049
01-01-2023,Ontario,"Occupations in art, culture, recreation and sport",Full-time,4431.049
01-01-2023,Ontario,"Occupations in art, culture, recreation and sport",Part-time,4431.049
01-01-2023,Ontario,Sales and service occupations,"Type of work, all types",4431.049
01-01-2023,Ontario,Sales and service occupations,Full-time,4431.049
01-01-2023,Ontario,Sales and service occupations,Part-time,4431.049
01-01-2023,Ontario,"Trades, transport and equipment operators and related occupations","Type of work, all types",4431.049
01-01-2023,Ontario,"Trades, transport and equipment operators and related occupations",Full-time,4431.049
01-01-2023,Ontario,"Trades, transport and equipment operators and related occupations",Part-time,4431.049
01-01-2023,Ontario,"Natural resources, agriculture and related production occupations","Type of work, all types",4431.049
01-01-2023,Ontario,"Natural resources, agriculture and related production occupations",Full-time,4431.049
01-01-2023,Ontario,"Natural resources, agriculture and related production occupations",Part-time,4431.049
01-01-2023,Ontario,Occupations in manufacturing and utilities,"Type of work, all types",4431.049
01-01-2023,Ontario,Occupations in manufacturing and utilities,Full-time,4431.049
01-01-2023,Ontario,Occupations in manufacturing and utilities,Part-time,4431.049
01-01-2023,Manitoba,"Total, all occupations","Type of work, all types",4431.049
01-01-2023,Manitoba,"Total, all occupations",Full-time,4431.049
