ref_date,geo,noc_desc,job_char,predicted_vacancies
2023-01-01,Newfoundland and Labrador,"Business, finance and administration occupations",Full-time,3755.902
2023-01-01,Newfoundland and Labrador,"Business, finance and administration occupations",Part-time,3764.5432
2023-01-01,Newfoundland and Labrador,Natural and applied sciences and related occupations,Full-time,3765.1565
2023-01-01,Newfoundland and Labrador,Health occupations,Full-time,3788.2695
2023-01-01,Newfoundland and Labrador,Health occupations,Part-time,3394.264
2023-01-01,Newfoundland and Labrador,"Occupations in education, law and social, community and government services",Full-time,3388.7217
2023-01-01,Newfoundland and Labrador,Sales and service occupations,Full-time,3378.538
2023-01-01,Newfoundland and Labrador,Sales and service occupations,Part-time,
2023-01-01,Newfoundland and Labrador,"Trades, transport and equipment operators and related occupations",Full-time,2778.6868
2023-01-01,Prince Edward Island,"Business, finance and administration occupations",Full-time,2855.412
2023-01-01,Prince Edward Island,Health occupations,Full-time,2838.0547
2023-01-01,Prince Edward Island,Health occupations,Part-time,2764.5093
2023-01-01,Prince Edward Island,"Occupations in education, law and social, community and government services",Part-time,2836.3943
2023-01-01,Prince Edward Island,Sales and service occupations,Full-time,2859.264
2023-01-01,Prince Edward Island,Sales and service occupations,Part-time,2842.1545
2023-01-01,Prince Edward Island,"Trades, transport and equipment operators and related occupations",Full-time,2767.1455
2023-01-01,Prince Edward Island,"Trades, transport and equipment operators and related occupations",Part-time,3363.5757
2023-01-01,Prince Edward Island,Occupations in manufacturing and utilities,Full-time,3374.0537
2023-01-01,Nova Scotia,"Business, finance and administration occupations",Full-time,3354.836
2023-01-01,Nova Scotia,"Business, finance and administration occupations",Part-time,
2023-01-01,Nova Scotia,Natural and applied sciences and related occupations,Full-time,3671.7834
2023-01-01,Nova Scotia,Health occupations,Full-time,3687.5842
2023-01-01,Nova Scotia,Health occupations,Part-time,3708.8892
2023-01-01,Nova Scotia,"Occupations in education, law and social, community and government services",Full-time,3728.413
2023-01-01,Nova Scotia,"Occupations in education, law and social, community and government services",Part-time,3661.4885
2023-01-01,Nova Scotia,Sales and service occupations,Full-time,3685.9153
2023-01-01,Nova Scotia,Sales and service occupations,Part-time,3695.5952
2023-01-01,Nova Scotia,"Trades, transport and equipment operators and related occupations",Full-time,3714.4922
2023-01-01,Nova Scotia,"Trades, transport and equipment operators and related occupations",Part-time,3625.4429
2023-01-01,Nova Scotia,Occupations in manufacturing and utilities,Full-time,3629.9636
2023-01-01,New Brunswick,"Business, finance and administration occupations",Full-time,3645.28
2023-01-01,New Brunswick,"Business, finance and administration occupations",Part-time,
2023-01-01,New Brunswick,Natural and applied sciences and related occupations,Full-time,3787.8145
2023-01-01,New Brunswick,"Occupations in education, law and social, community and government services",Full-time,3663.113
2023-01-01,New Brunswick,"Occupations in education, law and social, community and government services",Part-time,3611.109
2023-01-01,New Brunswick,Sales and service occupations,Full-time,3584.203
2023-01-01,New Brunswick,Sales and service occupations,Part-time,3770.8528
2023-01-01,New Brunswick,"Trades, transport and equipment operators and related occupations",Full-time,3787.452
2023-01-01,New Brunswick,Occupations in manufacturing and utilities,Full-time,3783.288
2023-01-01,Quebec,"Business, finance and administration occupations",Full-time,3806.5906
2023-01-01,Quebec,"Business, finance and administration occupations",Part-time,3694.0918
2023-01-01,Quebec,Natural and applied sciences and related occupations,Full-time,3688.6917
2023-01-01,Quebec,Natural and applied sciences and related occupations,Part-time,3687.9802
2023-01-01,Quebec,Health occupations,Full-time,
2023-01-01,Quebec,Health occupations,Part-time,3719.1628
2023-01-01,Quebec,"Occupations in education, law and social, community and government services",Full-time,3466.092
2023-01-01,Quebec,"Occupations in education, law and social, community and government services",Part-time,3459.0828
2023-01-01,Quebec,"Occupations in art, culture, recreation and sport",Full-time,3503.7056
2023-01-01,Quebec,"Occupations in art, culture, recreation and sport",Part-time,3716.6526
2023-01-01,Quebec,Sales and service occupations,Full-time,3507.0166
2023-01-01,Quebec,Sales and service occupations,Part-time,3562.2769
2023-01-01,Quebec,"Trades, transport and equipment operators and related occupations",Full-time,3613.7878
2023-01-01,Quebec,"Trades, transport and equipment operators and related occupations",Part-time,3769.8489
2023-01-01,Quebec,"Natural resources, agriculture and related production occupations",Full-time,3673.621
2023-01-01,Quebec,Occupations in manufacturing and utilities,Full-time,3642.7212
2023-01-01,Quebec,Occupations in manufacturing and utilities,Part-time,
2023-01-01,Ontario,Legislative and senior management occupations,Full-time,3703.0703
2023-01-01,Ontario,"Business, finance and administration occupations",Full-time,3458.3
