ref_date,geo,noc_desc,job_char,predicted_vacancies
2023-01-01,Newfoundland and Labrador,"Business, finance and administration occupations",Full-time,2661.1682
2023-01-01,Newfoundland and Labrador,"Business, finance and administration occupations",Part-time,2770.279
2023-01-01,Newfoundland and Labrador,Natural and applied sciences and related occupations,Full-time,2720.683
2023-01-01,Newfoundland and Labrador,Health occupations,Full-time,2780.8174
2023-01-01,Newfoundland and Labrador,Health occupations,Part-time,2815.4524
2023-01-01,Newfoundland and Labrador,"Occupations in education, law and social, community and government services",Full-time,2878.64
2023-01-01,Newfoundland and Labrador,Sales and service occupations,Full-time,
2023-01-01,Newfoundland and Labrador,Sales and service occupations,Part-time,
2023-01-01,Newfoundland and Labrador,"Trades, transport and equipment operators and related occupations",Full-time,2605.2205
2023-01-01,Prince Edward Island,"Business, finance and administration occupations",Full-time,2744.9521
2023-01-01,Prince Edward Island,Health occupations,Full-time,2698.1438
2023-01-01,Prince Edward Island,Health occupations,Part-time,
2023-01-01,Prince Edward Island,"Occupations in education, law and social, community and government services",Part-time,
2023-01-01,Prince Edward Island,Sales and service occupations,Full-time,
2023-01-01,Prince Edward Island,Sales and service occupations,Part-time,
2023-01-01,Prince Edward Island,"Trades, transport and equipment operators and related occupations",Full-time,
2023-01-01,Prince Edward Island,"Trades, transport and equipment operators and related occupations",Part-time,2474.5479
2023-01-01,Prince Edward Island,Occupations in manufacturing and utilities,Full-time,2769.49
2023-01-01,Nova Scotia,"Business, finance and administration occupations",Full-time,2903.5073
2023-01-01,Nova Scotia,"Business, finance and administration occupations",Part-time,3033.7046
2023-01-01,Nova Scotia,Natural and applied sciences and related occupations,Full-time,3049.365
2023-01-01,Nova Scotia,Health occupations,Full-time,3114.8796
2023-01-01,Nova Scotia,Health occupations,Part-time,3161.188
2023-01-01,Nova Scotia,"Occupations in education, law and social, community and government services",Full-time,3175.999
2023-01-01,Nova Scotia,"Occupations in education, law and social, community and government services",Part-time,2584.9487
2023-01-01,Nova Scotia,Sales and service occupations,Full-time,2735.4812
2023-01-01,Nova Scotia,Sales and service occupations,Part-time,2688.9866
2023-01-01,Nova Scotia,"Trades, transport and equipment operators and related occupations",Full-time,2749.551
2023-01-01,Nova Scotia,"Trades, transport and equipment operators and related occupations",Part-time,2784.2048
2023-01-01,Nova Scotia,Occupations in manufacturing and utilities,Full-time,2849.311
2023-01-01,New Brunswick,"Business, finance and administration occupations",Full-time,
2023-01-01,New Brunswick,"Business, finance and administration occupations",Part-time,
2023-01-01,New Brunswick,Natural and applied sciences and related occupations,Full-time,2592.7705
2023-01-01,New Brunswick,"Occupations in education, law and social, community and government services",Full-time,2740.7766
2023-01-01,New Brunswick,"Occupations in education, law and social, community and government services",Part-time,2694.1804
2023-01-01,New Brunswick,Sales and service occupations,Full-time,
2023-01-01,New Brunswick,Sales and service occupations,Part-time,
2023-01-01,New Brunswick,"Trades, transport and equipment operators and related occupations",Full-time,
2023-01-01,New Brunswick,Occupations in manufacturing and utilities,Full-time,
2023-01-01,Quebec,"Business, finance and administration occupations",Full-time,
2023-01-01,Quebec,"Business, finance and administration occupations",Part-time,2474.5974
2023-01-01,Quebec,Natural and applied sciences and related occupations,Full-time,2769.523
2023-01-01,Quebec,Natural and applied sciences and related occupations,Part-time,2903.5413
2023-01-01,Quebec,Health occupations,Full-time,3033.7302
2023-01-01,Quebec,Health occupations,Part-time,3049.3877
2023-01-01,Quebec,"Occupations in education, law and social, community and government services",Full-time,3114.9006
2023-01-01,Quebec,"Occupations in education, law and social, community and government services",Part-time,3161.2087
2023-01-01,Quebec,"Occupations in art, culture, recreation and sport",Full-time,3176.0188
2023-01-01,Quebec,"Occupations in art, culture, recreation and sport",Part-time,2654.875
2023-01-01,Quebec,Sales and service occupations,Full-time,2764.1167
2023-01-01,Quebec,Sales and service occupations,Part-time,2713.585
2023-01-01,Quebec,"Trades, transport and equipment operators and related occupations",Full-time,2774.0632
2023-01-01,Quebec,"Trades, transport and equipment operators and related occupations",Part-time,2808.3276
2023-01-01,Quebec,"Natural resources, agriculture and related production occupations",Full-time,2871.0234
2023-01-01,Quebec,Occupations in manufacturing and utilities,Full-time,
2023-01-01,Quebec,Occupations in manufacturing and utilities,Part-time,
2023-01-01,Ontario,Legislative and senior management occupations,Full-time,2660.3533
2023-01-01,Ontario,"Business, finance and administration occupations",Full-time,2769.4744
2023-01-01,Ontario,"Business, finance and administration occupations",Part-time,2719.7537
2023-01-01,Ontario,Natural and applied sciences and related occupations,Full-time,
2023-01-01,Ontario,Natural and applied sciences and related occupations,Part-time,
2023-01-01,Ontario,Health occupations,Full-time,
2023-01-01,Ontario,Health occupations,Part-time,
2023-01-01,Ontario,"Occupations in education, law and social, community and government services",Full-time,
2023-01-01,Ontario,"Occupations in education, law and social, community and government services",Part-time,3179.4587
2023-01-01,Ontario,"Occupations in art, culture, recreation and sport",Full-time,3335.412
2023-01-01,Ontario,"Occupations in art, culture, recreation and sport",Part-time,3430.5579
2023-01-01,Ontario,Sales and service occupations,Full-time,3431.5894
2023-01-01,Ontario,Sales and service occupations,Part-time,3377.5425
2023-01-01,Ontario,"Trades, transport and equipment operators and related occupations",Full-time,3418.3655
2023-01-01,Ontario,"Trades, transport and equipment operators and related occupations",Part-time,3454.8137
2023-01-01,Ontario,"Natural resources, agriculture and related production occupations",Full-time,3466.0598
2023-01-01,Ontario,"Natural resources, agriculture and related production occupations",Part-time,2661.7124
2023-01-01,Ontario,Occupations in manufacturing and utilities,Full-time,2770.7874
2023-01-01,Ontario,Occupations in manufacturing and utilities,Part-time,2721.2483
2023-01-01,Manitoba,"Business, finance and administration occupations",Full-time,2781.3533
2023-01-01,Manitoba,"Business, finance and administration occupations",Part-time,2816.0144
2023-01-01,Manitoba,Natural and applied sciences and related occupations,Full-time,2879.249
2023-01-01,Manitoba,Health occupations,Full-time,
2023-01-01,Manitoba,Health occupations,Part-time,
2023-01-01,Manitoba,"Occupations in education, law and social, community and government services",Full-time,2662.327
2023-01-01,Manitoba,"Occupations in education, law and social, community and government services",Part-time,2771.1208
2023-01-01,Manitoba,"Occupations in art, culture, recreation and sport",Full-time,2721.4792
2023-01-01,Manitoba,"Occupations in art, culture, recreation and sport",Part-time,
2023-01-01,Manitoba,Sales and service occupations,Full-time,
2023-01-01,Manitoba,Sales and service occupations,Part-time,
2023-01-01,Manitoba,"Trades, transport and equipment operators and related occupations",Full-time,
2023-01-01,Manitoba,"Trades, transport and equipment operators and related occupations",Part-time,
2023-01-01,Manitoba,"Natural resources, agriculture and related production occupations",Full-time,4575.998
2023-01-01,Manitoba,Occupations in manufacturing and utilities,Full-time,4283.0303
2023-01-01,Saskatchewan,"Business, finance and administration occupations",Full-time,4182.904
2023-01-01,Saskatchewan,"Business, finance and administration occupations",Part-time,4198.2026
2023-01-01,Saskatchewan,Natural and applied sciences and related occupations,Full-time,4209.552
2023-01-01,Saskatchewan,Health occupations,Full-time,4212.631
2023-01-01,Saskatchewan,Health occupations,Part-time,4213.2705
2023-01-01,Saskatchewan,"Occupations in education, law and social, community and government services",Full-time,4213.425
2023-01-01,Saskatchewan,"Occupations in education, law and social, community and government services",Part-time,4679.3115
2023-01-01,Saskatchewan,"Occupations in art, culture, recreation and sport",Full-time,4414.1016
2023-01-01,Saskatchewan,"Occupations in art, culture, recreation and sport",Part-time,4344.0073
2023-01-01,Saskatchewan,Sales and service occupations,Full-time,4372.788
2023-01-01,Saskatchewan,Sales and service occupations,Part-time,4361.1562
2023-01-01,Saskatchewan,"Trades, transport and equipment operators and related occupations",Full-time,4311.895
2023-01-01,Saskatchewan,"Trades, transport and equipment operators and related occupations",Part-time,
2023-01-01,Saskatchewan,"Natural resources, agriculture and related production occupations",Full-time,
2023-01-01,Saskatchewan,Occupations in manufacturing and utilities,Full-time,3850.771
2023-01-01,Alberta,"Business, finance and administration occupations",Full-time,3905.597
2023-01-01,Alberta,"Business, finance and administration occupations",Part-time,3872.9927
2023-01-01,Alberta,Natural and applied sciences and related occupations,Full-time,
2023-01-01,Alberta,Health occupations,Full-time,
2023-01-01,Alberta,Health occupations,Part-time,
2023-01-01,Alberta,"Occupations in education, law and social, community and government services",Full-time,
2023-01-01,Alberta,"Occupations in education, law and social, community and government services",Part-time,
2023-01-01,Alberta,"Occupations in art, culture, recreation and sport",Full-time,4473.4717
2023-01-01,Alberta,"Occupations in art, culture, recreation and sport",Part-time,4251.5835
2023-01-01,Alberta,Sales and service occupations,Full-time,4137.324
2023-01-01,Alberta,Sales and service occupations,Part-time,4101.7812
2023-01-01,Alberta,"Trades, transport and equipment operators and related occupations",Full-time,4104.069
2023-01-01,Alberta,"Trades, transport and equipment operators and related occupations",Part-time,4108.0254
2023-01-01,Alberta,"Natural resources, agriculture and related production occupations",Full-time,4108.463
2023-01-01,Alberta,Occupations in manufacturing and utilities,Full-time,4108.534
2023-01-01,British Columbia,Legislative and senior management occupations,Full-time,2592.1665
2023-01-01,British Columbia,"Business, finance and administration occupations",Full-time,2794.4673
2023-01-01,British Columbia,"Business, finance and administration occupations",Part-time,2932.7422
2023-01-01,British Columbia,Natural and applied sciences and related occupations,Full-time,3056.7744
2023-01-01,British Columbia,Health occupations,Full-time,3071.4182
2023-01-01,British Columbia,Health occupations,Part-time,3136.551
2023-01-01,British Columbia,"Occupations in education, law and social, community and government services",Full-time,3181.8823
2023-01-01,British Columbia,"Occupations in education, law and social, community and government services",Part-time,3195.9397
2023-01-01,British Columbia,"Occupations in art, culture, recreation and sport",Full-time,4695.3735
2023-01-01,British Columbia,"Occupations in art, culture, recreation and sport",Part-time,4436.3096
2023-01-01,British Columbia,Sales and service occupations,Full-time,4400.2275
2023-01-01,British Columbia,Sales and service occupations,Part-time,4427.953
2023-01-01,British Columbia,"Trades, transport and equipment operators and related occupations",Full-time,4417.805
2023-01-01,British Columbia,"Trades, transport and equipment operators and related occupations",Part-time,4373.8154
2023-01-01,British Columbia,"Natural resources, agriculture and related production occupations",Full-time,
2023-01-01,British Columbia,Occupations in manufacturing and utilities,Full-time,
2023-01-01,Yukon,"Business, finance and administration occupations",Full-time,4785.557
2023-01-01,Yukon,Natural and applied sciences and related occupations,Part-time,4638.031
2023-01-01,Yukon,"Trades, transport and equipment operators and related occupations",Full-time,4633.368
2023-01-01,Northwest Territories,"Business, finance and administration occupations",Full-time,
2023-01-01,Nunavut,"Business, finance and administration occupations",Full-time,
2023-01-01,Nunavut,Sales and service occupations,Full-time,
2023-01-01,Nunavut,"Trades, transport and equipment operators and related occupations",Full-time,
2023-01-04,Newfoundland and Labrador,"Business, finance and administration occupations",Full-time,
2023-01-04,Newfoundland and Labrador,"Business, finance and administration occupations",Part-time,5640.7593
2023-01-04,Newfoundland and Labrador,Natural and applied sciences and related occupations,Full-time,5395.0366
2023-01-04,Newfoundland and Labrador,Health occupations,Full-time,5253.348
2023-01-04,Newfoundland and Labrador,Health occupations,Part-time,5223.4077
2023-01-04,Newfoundland and Labrador,"Occupations in education, law and social, community and government services",Full-time,5219.8247
2023-01-04,Newfoundland and Labrador,"Occupations in education, law and social, community and government services",Part-time,5208.787
2023-01-04,Newfoundland and Labrador,"Occupations in art, culture, recreation and sport",Full-time,5152.0645
2023-01-04,Newfoundland and Labrador,"Occupations in art, culture, recreation and sport",Part-time,5024.093
2023-01-04,Newfoundland and Labrador,Sales and service occupations,Full-time,5637.796
2023-01-04,Newfoundland and Labrador,Sales and service occupations,Part-time,5381.7075
2023-01-04,Newfoundland and Labrador,"Trades, transport and equipment operators and related occupations",Full-time,5243.6567
2023-01-04,Newfoundland and Labrador,"Trades, transport and equipment operators and related occupations",Part-time,5215.528
2023-01-04,Newfoundland and Labrador,"Natural resources, agriculture and related production occupations",Full-time,5200.8696
2023-01-04,Newfoundland and Labrador,Occupations in manufacturing and utilities,Full-time,5140.1426
2023-01-04,Prince Edward Island,"Business, finance and administration occupations",Full-time,
2023-01-04,Prince Edward Island,Natural and applied sciences and related occupations,Full-time,
2023-01-04,Prince Edward Island,Health occupations,Full-time,5639.792
2023-01-04,Prince Edward Island,Health occupations,Part-time,5382.2324
2023-01-04,Prince Edward Island,"Occupations in education, law and social, community and government services",Full-time,5243.513
2023-01-04,Prince Edward Island,"Occupations in education, law and social, community and government services",Part-time,
2023-01-04,Prince Edward Island,Sales and service occupations,Full-time,
2023-01-04,Prince Edward Island,Sales and service occupations,Part-time,
2023-01-04,Prince Edward Island,"Trades, transport and equipment operators and related occupations",Full-time,
2023-01-04,Prince Edward Island,"Trades, transport and equipment operators and related occupations",Part-time,
2023-01-04,Prince Edward Island,Occupations in manufacturing and utilities,Full-time,5631.6045
2023-01-04,Prince Edward Island,Occupations in manufacturing and utilities,Part-time,5388.225
2023-01-04,Nova Scotia,"Business, finance and administration occupations",Full-time,5250.9004
2023-01-04,Nova Scotia,"Business, finance and administration occupations",Part-time,5222.253
2023-01-04,Nova Scotia,Natural and applied sciences and related occupations,Full-time,5219.0967
2023-01-04,Nova Scotia,Health occupations,Full-time,5207.951
2023-01-04,Nova Scotia,Health occupations,Part-time,5150.658
2023-01-04,Nova Scotia,"Occupations in education, law and social, community and government services",Full-time,5022.1196
2023-01-04,Nova Scotia,"Occupations in education, law and social, community and government services",Part-time,5340.7476
2023-01-04,Nova Scotia,Sales and service occupations,Full-time,5207.7104
2023-01-04,Nova Scotia,Sales and service occupations,Part-time,5160.6367
2023-01-04,Nova Scotia,"Trades, transport and equipment operators and related occupations",Full-time,5148.512
2023-01-04,Nova Scotia,"Trades, transport and equipment operators and related occupations",Part-time,5130.8037
2023-01-04,Nova Scotia,Occupations in manufacturing and utilities,Full-time,5059.615
2023-01-04,New Brunswick,"Business, finance and administration occupations",Full-time,
2023-01-04,New Brunswick,"Business, finance and administration occupations",Part-time,
2023-01-04,New Brunswick,Natural and applied sciences and related occupations,Full-time,4888.8833
2023-01-04,New Brunswick,Health occupations,Full-time,4766.1953
2023-01-04,New Brunswick,Health occupations,Part-time,4744.5127
2023-01-04,New Brunswick,"Occupations in education, law and social, community and government services",Full-time,
2023-01-04,New Brunswick,"Occupations in education, law and social, community and government services",Part-time,
2023-01-04,New Brunswick,Sales and service occupations,Full-time,
2023-01-04,New Brunswick,Sales and service occupations,Part-time,
2023-01-04,New Brunswick,"Trades, transport and equipment operators and related occupations",Full-time,
2023-01-04,New Brunswick,"Trades, transport and equipment operators and related occupations",Part-time,5227.536
2023-01-04,New Brunswick,"Natural resources, agriculture and related production occupations",Full-time,5080.3096
2023-01-04,New Brunswick,Occupations in manufacturing and utilities,Full-time,4999.353
2023-01-04,Quebec,Legislative and senior management occupations,Full-time,
2023-01-04,Quebec,"Business, finance and administration occupations",Full-time,
2023-01-04,Quebec,"Business, finance and administration occupations",Part-time,
2023-01-04,Quebec,Natural and applied sciences and related occupations,Full-time,
2023-01-04,Quebec,Natural and applied sciences and related occupations,Part-time,
2023-01-04,Quebec,Health occupations,Full-time,530.92206
2023-01-04,Quebec,Health occupations,Part-time,554.9865
2023-01-04,Quebec,"Occupations in education, law and social, community and government services",Full-time,571.04584
2023-01-04,Quebec,"Occupations in education, law and social, community and government services",Part-time,563.9025
2023-01-04,Quebec,"Occupations in art, culture, recreation and sport",Full-time,563.1484
2023-01-04,Quebec,"Occupations in art, culture, recreation and sport",Part-time,571.6884
2023-01-04,Quebec,Sales and service occupations,Full-time,
2023-01-04,Quebec,Sales and service occupations,Part-time,
2023-01-04,Quebec,"Trades, transport and equipment operators and related occupations",Full-time,710.2133
2023-01-04,Quebec,"Trades, transport and equipment operators and related occupations",Part-time,686.01385
2023-01-04,Quebec,"Natural resources, agriculture and related production occupations",Full-time,667.144
2023-01-04,Quebec,Occupations in manufacturing and utilities,Full-time,
2023-01-04,Ontario,Legislative and senior management occupations,Full-time,
2023-01-04,Ontario,"Business, finance and administration occupations",Full-time,
2023-01-04,Ontario,"Business, finance and administration occupations",Part-time,
2023-01-04,Ontario,Natural and applied sciences and related occupations,Full-time,
2023-01-04,Ontario,Health occupations,Full-time,417.12692
2023-01-04,Ontario,Health occupations,Part-time,462.26486
2023-01-04,Ontario,"Occupations in education, law and social, community and government services",Full-time,482.8093
2023-01-04,Ontario,"Occupations in education, law and social, community and government services",Part-time,502.73727
2023-01-04,Ontario,"Occupations in art, culture, recreation and sport",Full-time,505.13278
2023-01-04,Ontario,"Occupations in art, culture, recreation and sport",Part-time,515.1777
2023-01-04,Ontario,Sales and service occupations,Full-time,522.27094
2023-01-04,Ontario,Sales and service occupations,Part-time,524.53656
2023-01-04,Ontario,"Trades, transport and equipment operators and related occupations",Full-time,433.89474
2023-01-04,Ontario,"Trades, transport and equipment operators and related occupations",Part-time,456.96506
2023-01-04,Ontario,"Natural resources, agriculture and related production occupations",Full-time,449.8325
2023-01-04,Ontario,"Natural resources, agriculture and related production occupations",Part-time,459.1533
2023-01-04,Ontario,Occupations in manufacturing and utilities,Full-time,464.45895
2023-01-04,Manitoba,"Business, finance and administration occupations",Full-time,474.41794
2023-01-04,Manitoba,"Business, finance and administration occupations",Part-time,
2023-01-04,Manitoba,Natural and applied sciences and related occupations,Full-time,
2023-01-04,Manitoba,Natural and applied sciences and related occupations,Part-time,434.25583
2023-01-04,Manitoba,Health occupations,Full-time,457.26437
2023-01-04,Manitoba,Health occupations,Part-time,450.11716
2023-01-04,Manitoba,"Occupations in education, law and social, community and government services",Full-time,
2023-01-04,Manitoba,"Occupations in education, law and social, community and government services",Part-time,
2023-01-04,Manitoba,"Occupations in art, culture, recreation and sport",Full-time,
2023-01-04,Manitoba,"Occupations in art, culture, recreation and sport",Part-time,
2023-01-04,Manitoba,Sales and service occupations,Full-time,
2023-01-04,Manitoba,Sales and service occupations,Part-time,679.40985
2023-01-04,Manitoba,"Trades, transport and equipment operators and related occupations",Full-time,670.5019
2023-01-04,Manitoba,"Trades, transport and equipment operators and related occupations",Part-time,658.54974
